02/24/17 20:14:02 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%9D%C3%90%C2%B0%C3%90%C2%B9%C3%90%C2%BA+%C3%90%C2%91%C3%90%C2%BE%C3%91%C2%80%C3%90%C2%B7%C3%90%C2%BE%C3%90%C2%B2""

02/24/17 20:14:39 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bow+Wow+%26+Omarion""

02/24/17 20:14:48 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"David+Bowie+%26+Bing+Crosby""

02/24/17 20:14:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"David+Bowie+%26+Mick+Jagger""

02/24/17 20:15:40 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Billy+Bragg+%26+Wilco""

02/24/17 20:16:23 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Brandy+%26+Monica""

02/24/17 20:16:24 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Brandy+%26+Ray+J""

02/24/17 20:16:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%91%C3%91%C2%80%C3%90%C2%B0%C3%90%C2%B2%C3%90%C2%BE""

02/24/17 20:17:16 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Goran+Bregovi%C3%84%C2%87""

02/24/17 20:18:15 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Leslie+Bricusse+%26+Anthony+Newley""

02/24/17 20:18:29 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Sarah+Brightman+%26+Andrea+Bocelli""

02/24/17 20:20:12 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chuck+Brown+and+Eva+Cassidy""

02/24/17 20:21:24 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Peabo+Bryson+%26+Roberta+Flack""

02/24/17 20:21:30 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chico+Buarque+%26+Maria+Beth%C3%A2nia""

02/24/17 20:21:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Buckethead+%26+Friends""

02/24/17 20:21:51 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Jeff+Buckley+%26+Gary+Lucas""

02/24/17 20:22:28 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Buggles""

02/24/17 20:22:57 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Eric+Burdon+%26+War""

02/24/17 20:25:25 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Caesars+Palace""

02/24/17 20:25:52 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"J.J.+Cale+%26+Eric+Clapton""

02/24/17 20:26:39 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Camille+Jones+vs.+Fedde+Le+Grand""

02/24/17 20:26:51 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Isobel+Campbell+%26+Mark+Lanegan""

02/24/17 20:27:27 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Cansei+de+Ser+Sexy""

02/24/17 20:28:14 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Keith+Caputo""

02/24/17 20:29:04 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Mariah+Carey+%26+Boyz+II+Men""

02/24/17 20:29:16 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Carlinhos+Brown+%26+DJ+Dero""

02/24/17 20:29:44 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Mlle+Caro+%26+Frank+Garc%C3%ADa""

02/24/17 20:29:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ana+Carolina+%26+Seu+Jorge""

02/24/17 20:31:05 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Marty+Casey+%26+Lovehammers""

02/24/17 20:31:09 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Johnny+Cash+%26+June+Carter+Cash""

02/24/17 20:31:11 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Johnny+Cash+%26+Willie+Nelson""

02/24/17 20:31:44 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Christian+Castro""

02/24/17 20:32:09 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"S%C3%A9bastien+Cauet""

02/24/17 20:32:56 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"John+Cena+%26+Tha+Trademarc""

02/24/17 20:33:50 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chamonix""

02/24/17 20:33:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A9%C2%99%C2%B3%C3%A5%C2%A5%C2%95%C3%A8%C2%BF%C2%85""

02/24/17 20:34:05 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A5%C2%BC%C2%B5%C3%A9%C2%9F%C2%B6%C3%A6%C2%B6%C2%B5""

02/24/17 20:34:07 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A5%C2%BC%C2%B5%C3%A4%C2%BF%C2%A1%C3%A5%C2%93%C2%B2""

02/24/17 20:34:47 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ray+Charles+%26+Betty+Carter""

02/24/17 20:34:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chas+%27n%27+Dave""

02/24/17 20:35:10 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%A7%C3%90%C2%B0%C3%90%C2%B9%C3%91%C2%84""

02/24/17 20:36:08 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chicago+Transit+Authority""

02/24/17 20:36:21 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chico+Science+%26+Na%C3%A7%C3%A3o+Zumbi""

02/24/17 20:37:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%A7%C3%90%C2%B8%C3%90%C2%B6+%26+Co""

02/24/17 20:37:26 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A5%C2%91%C2%A8%C3%A6%C2%9D%C2%B0%C3%A5%C2%80%C2%AB""

02/24/17 20:40:41 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"MC+Clemens""

02/24/17 20:42:12 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Tom+Cochrane+%26+Red+Rider""

02/24/17 20:43:10 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Nat+King+Cole+%26+George+Shearing+Quintet""

02/24/17 20:43:46 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Willie+Col%C3%B3n+%26+Rub%C3%A9n+Blades""

02/24/17 20:43:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Colourfield""

02/24/17 20:44:08 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"John+Coltrane+and+Johnny+Hartman""

02/24/17 20:46:42 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chick+Corea+%26+Return+to+Forever""

02/24/17 20:47:33 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Gal+Costa+%26+Caetano+Veloso""

02/24/17 20:47:44 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Elvis+Costello+%26+Allen+Toussaint""

02/24/17 20:47:45 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Elvis+Costello+with+Burt+Bacharach""

02/24/17 20:48:23 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Coverdale%2BPage""

02/24/17 20:50:30 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bing+Crosby+%26+the+Andrews+Sisters""

02/24/17 20:50:32 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bing+Crosby+%26+Louis+Armstrong""

